CUSTOMER_HK,DAY_DT,BANK_IS_ACTIVE,INVEST_IS_ACTIVE,PLAN_NM
04c604e678b18d7ca10b85fb8d3672a03b7b6b71e78dd522b3f2a9d067977352,2020-11-30 0:00:00,1,0,prime
a42a9fdf0ee31d331c9d96ce6fbf30f307b52ff40a55ecef5054a4d3b3c8709a,2021-01-31 0:00:00,1,0,prime
be92b2698f17aa7fab796fd5eb132cc251fce6fe1870dc82fa85bf78daeff799,2020-12-31 0:00:00,1,0,prime
c84455bb3bbc2dbf16a1edd9c44e76baaf06b0ee224ed583fc72ece9f33c64f0,2020-12-31 0:00:00,1,0,prime
7df3aa4e5f29e4f5946d652d4f6d6f88d3f850ac9ba33ae73ba091ab3a7885a2,2020-12-31 0:00:00,0,0,prime
61028dfa08ba7fd00a0e638caf507ebb35aa73117e24cf8f43c77137a07d1daa,2020-12-31 0:00:00,0,0,prime
590b7f7607f220b90eff56a9d6cdf556e98d6ac604bbe2cc1192f76e536a88b5,2021-01-31 0:00:00,0,0,prime
2a6bfea72532a5394d73ee93f4132cdb4de6a9ac07942b78ac8d01992886fbe5,2021-01-31 0:00:00,0,0,prime
40d8d515cdbcba2873946e111ac8360d204564c977e518d49e95e1487a1c094f,2020-11-30 0:00:00,1,0,prime
a52f99a1db261df5e24c8f9155ee87adeb5bcbda7ba177c0ab8f4bbf677fff7f,2020-12-31 0:00:00,1,0,prime
33fd2f0ce8105ec54e5c17cd7e56185625c1a1df21bb37d8655577504527c1df,2021-01-31 0:00:00,1,0,prime
1690695ed437bfedd31a3d370fe6a9b32c61f930c52ac51617b30b053f4c618f,2020-11-30 0:00:00,0,0,prime
15d9ed111a0c55427149778fe93e7906e3b71e6a9c03f28a384542e0b34c1be8,2020-11-30 0:00:00,1,0,prime
34af53bab02d51126061992f68d40fdac79c3a6e8a21d82d430eda5fda935142,2020-11-30 0:00:00,1,0,prime
642a360a1fa6bdd6636fb03942a0b978d49f40b343651fbed393cc53940e411b,2021-01-31 0:00:00,0,0,prime
127b55a460657db00bb727ac50647a1d403a8d9952e6eb0f1994e967b4691426,2020-12-31 0:00:00,1,0,prime
0be07b783e6ef2afef5201fbea83e7c2722d0081fccb0146e5ce9b7dead81495,2020-11-30 0:00:00,1,0,prime
15945eb72630c3bd790acba9025cffcaba0b011a3227ff7bfa0ebe61e5d9ff51,2021-01-31 0:00:00,0,0,prime
49f395863c6d9d101a2fb071a70baef53007f76009c05b9bef448540fe8809e5,2020-12-31 0:00:00,0,0,prime
3a526c1848cd3ca1bc915a3db94f8b1c2da41ba293518ee309a679c1949e6460,2020-12-31 0:00:00,0,0,prime
4fde3ce0a9447556b95310b154bc73a69574527b6500f7ce15ec16391caff990,2020-12-31 0:00:00,1,0,prime
3567c93602a83472bbb9d6a608f275885ff396f839dcb1f30762e99d14f825b9,2020-12-31 0:00:00,1,0,prime
8a5f2feb30bea6d75d8d61b887004ecbf21bd2076537e0c9f7dc88fcb41015c3,2020-11-30 0:00:00,1,0,prime
5497a0e6699371bc7450f1eeb33892023925b3d24bfbe16b1c28d400f469064c,2020-11-30 0:00:00,0,0,prime
fbf8d4b7386f3a77535d00e23fe1bb8f8c70dbe4bf407f3e2c78423b3cdb3e2c,2020-11-30 0:00:00,1,0,standart
5b231b263b1c03a64aea7dd18b5ffb25da3673b6dba95ba9ca6b01aa0cc0c771,2021-01-31 0:00:00,0,0,prime
2badcd182000e078282d2d11714dffb0a2ae93583485c1181d125fa0a2976a3c,2021-01-31 0:00:00,0,0,prime
5b81345de3f3cd4738f1035262c79f77e0139d852e461d554d72f18abe8759e3,2021-01-31 0:00:00,1,0,standart
dfe797ebbf4099f415e104f3a18ee41608b06775c12e85da74d25271a73c4ff8,2021-01-31 0:00:00,0,0,prime
ab9b30379989a9d571910bf183e22da1d4e1534673dc0f399b1ca61a16253902,2020-12-31 0:00:00,0,0,prime
e5bfd54ea4e11f0c387fe4b6525d10632a41c9ba626c140c82dca06885ffc671,2021-01-31 0:00:00,1,0,prime
875285de0359d6d86bfff593bd1b57b0ff41d628a8508167f77603c5563c5bc9,2021-01-31 0:00:00,1,0,prime
33a81fafb7d0d0ccb4b9991b90d465ae509c432f67c75fe5183599adf406c431,2021-01-31 0:00:00,0,0,prime
bb00cea197ba661c4cb0bf759eb7fe6a8be60e95de33bec719a5aae453761ca9,2021-01-31 0:00:00,1,0,prime
7bcb47af8a911ee44aa22e8a51eb35ba059c4324fa0841a74bb18d11f4517031,2020-12-31 0:00:00,0,0,prime
85dacc2873495f0d82840fe139ad5a19f64bf70553d61012b569655debc240fb,2021-01-31 0:00:00,1,0,prime
b8d65319375e89821b7ce77101d2360df5205dcbceb8ff4baf9e1e7ca0c741ba,2021-01-31 0:00:00,0,0,prime
58924487d12314ee8b4a60a87e8fa339e7e243ddbea4210e2dcd226e27f1a770,2021-01-31 0:00:00,0,0,prime
2a3d2d6302591e74f5fc7c5d41118ab4778ce9795c5b55a009541a9942382905,2020-11-30 0:00:00,1,0,prime
ff58b426540e3a4594f1e08d1788434d0ddd6dad21143c3daeca2245239c699d,2021-01-31 0:00:00,1,0,prime
302b3f89a77f7b62b895d1be0a2dece4d06ef9107e006151ebb6a54d72aa9d11,2021-01-31 0:00:00,1,0,prime
f9a9d17861f0660f600dd42700ec381edf7e1fd7e1042946f67c2db82c550e9e,2020-12-31 0:00:00,1,0,prime
ec36c9ec36320fc675e24e8138d3733d1392c164080ecf6b670af0cfcbf57e45,2020-12-31 0:00:00,0,0,prime
cd6ada4f66fd91120bc89ab4117e0764e987231f1b8fa33ed34070ccaeff1b21,2020-12-31 0:00:00,1,0,standart
ba423ed687467b42ff7b46c2ebc18498dfb90dc8b991972fabaf7340d215bf54,2021-01-31 0:00:00,0,0,prime
53dc90f1869a97108929f54e536425c3f06f32d8febffa252264006d7c4b9c15,2020-11-30 0:00:00,0,0,prime
ac0f1f4e8ce0458a3b2e2da7e69e381383ad1db5757eff3f9cc49ba4ce35cafe,2020-12-31 0:00:00,1,0,prime
01d5e21f886af2592816ef8d4398c14020a9046c6ae3d93ae37942ced7c385b3,2020-11-30 0:00:00,1,0,prime
5bf81583c411835d69004cd2a76864728375ccff9bd0d53f123f0857ffcd67a8,2020-12-31 0:00:00,0,0,prime
0b33f31ac39d511fd63f7e9df4fd914d26a774b0c819c67dce2bcc76fe23d1b7,2020-11-30 0:00:00,1,0,prime
